城市,日期,星期,天气状况,最高温(℃),最低温(℃),平均温(℃),相对湿度(%),风向,风力等级,降水量(mm),AQI,紫外线指数
北京,2026-08-03,星期一,多云,31,22,26.5,62,北风,1,0,88,5
北京,2026-08-04,星期二,中雨,32,22,27,67,北风,2,9.4,47,1
北京,2026-08-05,星期三,多云,30,23,26.5,67,北风,1,0,64,6
北京,2026-08-06,星期四,多云,31,21,26,62,北风,1,0,70,8
北京,2026-08-07,星期五,小雨,30,23,26.5,82,北风,4,2.6,59,4
北京,2026-08-08,星期六,晴,30,21,25.5,61,北风,4,0,74,8
北京,2026-08-09,星期日,中雨,28,22,25,76,北风,3,14.8,47,1
上海,2026-08-03,星期一,中雨,32,23,27.5,89,东南风,3,8.1,31,3
上海,2026-08-04,星期二,小雨,34,27,30.5,86,东南风,3,4.8,49,4
上海,2026-08-05,星期三,中雨,27,23,25,98,东南风,3,5.8,15,1
上海,2026-08-06,星期四,晴,35,25,30,77,东南风,1,0,62,11
上海,2026-08-07,星期五,大雨,34,24,29,98,东南风,2,29.8,41,2
上海,2026-08-08,星期六,阴,33,24,28.5,79,东南风,5,0,63,3
上海,2026-08-09,星期日,晴,31,24,27.5,80,东南风,2,0,47,11
广州,2026-08-03,星期一,大雨,33,23,28,98,南风,4,19.9,50,1
广州,2026-08-04,星期二,大雨,29,25,27,97,南风,4,28.8,18,1
广州,2026-08-05,星期三,阴,33,27,30,80,南风,3,0,69,4
广州,2026-08-06,星期四,多云,35,29,32,92,南风,4,0,38,5
广州,2026-08-07,星期五,中雨,30,24,27,98,南风,3,7.1,16,1
广州,2026-08-08,星期六,多云,33,26,29.5,79,南风,3,0,35,7
广州,2026-08-09,星期日,阴,36,25,30.5,77,南风,3,0.9,46,5
深圳,2026-08-03,星期一,晴,33,26,29.5,84,东南风,4,0,48,8
深圳,2026-08-04,星期二,多云,32,26,29,74,东南风,4,0,25,5
深圳,2026-08-05,星期三,中雨,33,25,29,91,东南风,3,9.2,36,2
深圳,2026-08-06,星期四,晴,31,28,29.5,81,东南风,3,0,40,11
深圳,2026-08-07,星期五,小雨,33,27,30,88,东南风,2,2.2,54,4
深圳,2026-08-08,星期六,阴,35,27,31,81,东南风,2,0,35,3
深圳,2026-08-09,星期日,多云,34,26,30,85,东南风,2,0,40,5
成都,2026-08-03,星期一,多云,32,23,27.5,76,东北风,5,0,64,7
成都,2026-08-04,星期二,晴,34,24,29,73,东北风,3,0,48,10
成都,2026-08-05,星期三,多云,32,24,28,84,东北风,5,0,68,7
成都,2026-08-06,星期四,晴,30,24,27,78,东北风,5,0,88,9
成都,2026-08-07,星期五,小雨,33,22,27.5,80,东北风,2,1.9,77,1
成都,2026-08-08,星期六,多云,29,22,25.5,70,东北风,5,0,67,8
成都,2026-08-09,星期日,小雨,30,22,26,90,东北风,3,4,62,4
杭州,2026-08-03,星期一,中雨,34,22,28,85,东风,3,7.6,46,1
杭州,2026-08-04,星期二,晴,36,25,30.5,79,东风,4,0,53,11
杭州,2026-08-05,星期三,晴,31,27,29,75,东风,2,0,71,9
杭州,2026-08-06,星期四,多云,37,27,32,82,东风,3,0,60,5
杭州,2026-08-07,星期五,中雨,26,25,25.5,88,东风,3,5.8,15,3
杭州,2026-08-08,星期六,晴,36,24,30,81,东风,3,0,60,10
杭州,2026-08-09,星期日,晴,32,26,29,83,东风,4,0,62,10
武汉,2026-08-03,星期一,阴,37,28,32.5,78,南风,4,0,42,2
武汉,2026-08-04,星期二,多云,33,26,29.5,78,南风,3,0,43,8
武汉,2026-08-05,星期三,阴,38,26,32,79,南风,5,0,87,4
武汉,2026-08-06,星期四,多云,32,26,29,84,南风,2,0,81,8
武汉,2026-08-07,星期五,晴,37,28,32.5,84,南风,4,0,67,10
武汉,2026-08-08,星期六,大雨,32,25,28.5,74,南风,5,19.8,51,1
武汉,2026-08-09,星期日,多云,37,25,31,73,南风,1,0,60,7
西安,2026-08-03,星期一,晴,31,22,26.5,66,东北风,1,0,89,9
西安,2026-08-04,星期二,阴,36,22,29,68,东北风,3,0.3,56,2
西安,2026-08-05,星期三,多云,33,23,28,56,东北风,3,0,51,8
西安,2026-08-06,星期四,晴,34,25,29.5,58,东北风,2,0,76,8
西安,2026-08-07,星期五,多云,37,23,30,69,东北风,2,0,80,5
西安,2026-08-08,星期六,多云,35,22,28.5,52,东北风,3,0,55,8
西安,2026-08-09,星期日,晴,33,24,28.5,66,东北风,2,0,64,8
南京,2026-08-03,星期一,晴,35,24,29.5,75,东风,4,0,81,10
南京,2026-08-04,星期二,多云,35,23,29,78,东风,2,0,81,8
南京,2026-08-05,星期三,多云,34,24,29,68,东风,3,0,67,8
南京,2026-08-06,星期四,小雨,31,27,29,84,东风,3,4.9,78,3
南京,2026-08-07,星期五,中雨,34,20,27,79,东风,5,6.2,25,2
南京,2026-08-08,星期六,多云,31,24,27.5,68,东风,1,0,70,7
南京,2026-08-09,星期日,多云,32,24,28,72,东风,3,0,50,7
重庆,2026-08-03,星期一,多云,36,26,31,70,西南风,5,0,73,8
重庆,2026-08-04,星期二,多云,33,26,29.5,72,西南风,4,0,81,5
重庆,2026-08-05,星期三,多云,35,28,31.5,78,西南风,4,0,50,5
重庆,2026-08-06,星期四,中雨,29,25,27,90,西南风,5,6.6,36,3
重庆,2026-08-07,星期五,多云,35,28,31.5,68,西南风,4,0,52,5
重庆,2026-08-08,星期六,晴,36,27,31.5,86,西南风,5,0,87,10
重庆,2026-08-09,星期日,小雨,39,27,33,93,西南风,3,2.5,77,3
长沙,2026-08-03,星期一,大雨,31,21,26,84,南风,4,23.8,51,1
长沙,2026-08-04,星期二,中雨,32,21,26.5,93,南风,3,13.9,15,3
长沙,2026-08-05,星期三,中雨,30,25,27.5,92,南风,3,5.1,38,3
长沙,2026-08-06,星期四,晴,33,24,28.5,75,南风,5,0,61,9
长沙,2026-08-07,星期五,晴,31,25,28,68,南风,5,0,42,9
长沙,2026-08-08,星期六,阴,37,28,32.5,75,南风,3,0,81,4
长沙,2026-08-09,星期日,阴,33,25,29,75,南风,4,0.5,82,2
青岛,2026-08-03,星期一,中雨,30,23,26.5,79,东风,3,11.7,21,1
青岛,2026-08-04,星期二,多云,29,24,26.5,77,东风,2,0,59,6
青岛,2026-08-05,星期三,多云,30,25,27.5,89,东风,4,0,52,7
青岛,2026-08-06,星期四,多云,33,22,27.5,78,东风,5,0,58,5
青岛,2026-08-07,星期五,阴,32,26,29,75,东风,2,0.5,69,4
青岛,2026-08-08,星期六,多云,33,25,29,83,东风,5,0,69,8
青岛,2026-08-09,星期日,多云,28,25,26.5,79,东风,5,0,49,7
哈尔滨,2026-08-03,星期一,晴,29,19,24,77,东北风,3,0,55,9
哈尔滨,2026-08-04,星期二,小雨,26,19,22.5,80,东北风,2,3.5,47,1
哈尔滨,2026-08-05,星期三,晴,27,20,23.5,67,东北风,2,0,76,10
哈尔滨,2026-08-06,星期四,多云,30,17,23.5,71,东北风,4,0,68,6
哈尔滨,2026-08-07,星期五,多云,26,17,21.5,73,东北风,1,0,39,5
哈尔滨,2026-08-08,星期六,晴,29,18,23.5,61,东北风,3,0,45,11
哈尔滨,2026-08-09,星期日,阴,29,20,24.5,72,东北风,4,0.8,62,2
昆明,2026-08-03,星期一,晴,27,17,22,73,西南风,4,0,62,11
昆明,2026-08-04,星期二,小雨,26,15,20.5,77,西南风,4,3.4,38,1
昆明,2026-08-05,星期三,多云,28,17,22.5,67,西南风,4,0,59,5
昆明,2026-08-06,星期四,小雨,25,17,21,90,西南风,3,1.2,57,4
昆明,2026-08-07,星期五,阴,24,17,20.5,67,西南风,3,0.6,44,5
昆明,2026-08-08,星期六,中雨,20,16,18,84,西南风,2,5.2,15,1
昆明,2026-08-09,星期日,晴,22,19,20.5,65,西南风,3,0,29,11
拉萨,2026-08-03,星期一,晴,27,14,20.5,47,西风,3,0,17,10
拉萨,2026-08-04,星期二,阴,24,13,18.5,37,西风,3,0,57,2
