日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-06-06,98.56,103.30,104.05,98.08,294757,9260502528.00,6.12,5.87,5.73,2.53
2022-06-07,103.23,102.19,103.85,100.93,200221,6296538112.00,2.83,-1.07,-1.11,1.72
2022-06-08,103.43,106.36,106.58,101.56,290513,9321932800.00,4.91,4.08,4.17,2.49
2022-06-09,108.57,104.70,108.83,104.23,307542,10050640384.00,4.32,-1.56,-1.66,2.64
2022-06-10,104.39,113.49,113.89,104.25,438249,14790622464.00,9.21,8.40,8.79,3.76
2022-06-13,112.56,113.49,116.85,110.76,360681,12573534208.00,5.37,0.00,0.00,3.10
2022-06-14,111.23,111.76,112.16,106.30,404789,13634616576.00,5.16,-1.52,-1.73,3.48
2022-06-15,111.88,108.89,112.64,108.07,303948,10285857792.00,4.09,-2.57,-2.87,2.61
2022-06-16,109.06,109.23,111.46,108.36,190172,6410739456.00,2.85,0.31,0.34,1.63
2022-06-17,107.26,109.89,110.96,106.25,262148,8830738944.00,4.31,0.60,0.66,2.25
2022-06-20,109.92,111.29,113.45,108.90,245416,8405361664.00,4.14,1.27,1.40,2.11
2022-06-21,110.48,110.89,111.16,107.96,197827,6666969600.00,2.88,-0.36,-0.40,1.70
2022-06-22,111.37,110.52,113.10,109.89,186788,6412052224.00,2.89,-0.33,-0.37,1.60
2022-06-23,112.13,115.06,115.24,109.89,323142,11251776000.00,4.84,4.11,4.54,2.77
2022-06-24,114.89,114.24,115.99,112.56,235984,8273168128.00,2.98,-0.71,-0.82,2.03
2022-06-27,114.58,113.79,116.23,113.34,217155,7630684928.00,2.53,-0.39,-0.45,1.86
2022-06-28,112.89,114.86,116.83,111.46,269635,9447959040.00,4.72,0.94,1.07,2.31
2022-06-29,113.89,107.76,113.89,107.72,361146,12246017280.00,5.37,-6.18,-7.10,3.10
2022-06-30,107.56,108.39,110.34,107.23,220145,7372602880.00,2.89,0.58,0.63,1.89
2022-07-01,107.95,106.96,108.23,103.93,234113,7658689280.00,3.97,-1.32,-1.43,2.01
2022-07-04,107.89,109.28,109.96,107.29,209512,7020823808.00,2.50,2.17,2.32,1.80
2022-07-05,109.56,108.52,110.76,107.09,173757,5819208192.00,3.36,-0.70,-0.76,1.49
2022-07-06,108.49,109.26,110.76,107.89,183434,6179119616.00,2.64,0.68,0.74,1.57
2022-07-07,109.79,113.69,114.54,108.35,304649,10511816704.00,5.67,4.05,4.43,2.62
2022-07-08,113.69,109.89,114.52,109.89,190478,6547698944.00,4.07,-3.34,-3.80,1.64
2022-07-11,109.19,105.33,109.19,103.52,254317,8284856832.00,5.16,-4.15,-4.56,2.18
2022-07-12,103.89,100.23,104.23,97.25,450515,13935271930.66,6.63,-4.84,-5.10,3.87
2022-07-13,100.23,100.52,101.84,96.15,341067,10439432846.37,5.68,0.29,0.29,2.93
2022-07-14,100.20,104.89,104.89,99.56,272489,8631732044.24,5.30,4.35,4.37,2.34
2022-07-15,108.89,109.96,113.86,108.23,444508,15284697866.33,5.37,4.83,5.07,3.82
2022-07-18,112.23,109.59,112.56,106.56,238912,8007559906.57,5.46,-0.34,-0.37,2.05
2022-07-19,109.59,107.59,109.59,106.43,158180,5239778187.42,2.88,-1.82,-2.00,1.36
2022-07-20,108.22,107.79,108.51,106.92,103263,3425066981.27,1.48,0.19,0.20,0.89
2022-07-21,106.89,105.39,107.56,104.87,132003,4303073903.06,2.50,-2.23,-2.40,1.13
2022-07-22,105.90,107.10,108.78,105.89,141774,4687025063.19,2.74,1.62,1.71,1.22
2022-07-25,105.89,104.88,106.23,103.89,115017,3705167359.35,2.18,-2.07,-2.22,0.99
2022-07-26,104.72,105.56,106.45,103.89,107656,3493834391.48,2.44,0.65,0.68,0.92
2022-07-27,105.23,105.83,107.16,104.23,91056,2961812248.59,2.78,0.26,0.27,0.78
2022-07-28,106.90,105.70,107.71,105.23,109065,3572559081.57,2.34,-0.12,-0.13,0.94
2022-07-29,104.93,104.05,106.53,103.25,114854,3695131506.07,3.10,-1.56,-1.65,0.99
2022-08-01,103.26,107.44,107.96,102.70,187584,6141512246.28,5.06,3.26,3.39,1.61
2022-08-02,105.56,106.13,107.42,104.36,156643,5110091377.52,2.85,-1.22,-1.31,1.34
