SECUCODE,002594.SZ
SECURITY_CODE,002594
SECURITY_NAME_ABBR,比亚迪
ORG_CODE,10010554
ORG_TYPE,通用
REPORT_DATE,2025-12-31 00:00:00
REPORT_TYPE,年报
REPORT_DATE_NAME,2025年报
SECURITY_TYPE_CODE,058001001
NOTICE_DATE,2026-03-28 00:00:00
UPDATE_DATE,2026-04-29 00:00:00
CURRENCY,CNY
ACCEPT_DEPOSIT_INTERBANK,None
ACCOUNTS_PAYABLE,186742375000
ACCOUNTS_RECE,37004685000
ACCRUED_EXPENSE,None
ADVANCE_RECEIVABLES,None
AGENT_TRADE_SECURITY,None
AGENT_UNDERWRITE_SECURITY,None
AMORTIZE_COST_FINASSET,None
AMORTIZE_COST_FINLIAB,None
AMORTIZE_COST_NCFINASSET,None
AMORTIZE_COST_NCFINLIAB,None
APPOINT_FVTPL_FINASSET,None
APPOINT_FVTPL_FINLIAB,None
ASSET_BALANCE,0
ASSET_OTHER,None
ASSIGN_CASH_DIVIDEND,None
AVAILABLE_SALE_FINASSET,None
BOND_PAYABLE,4997910000
BORROW_FUND,None
BUY_RESALE_FINASSET,None
CAPITAL_RESERVE,95276659000
CIP,48293781000
CONSUMPTIVE_BIOLOGICAL_ASSET,None
CONTRACT_ASSET,1165068000
CONTRACT_LIAB,51471055000
CONVERT_DIFF,None
CREDITOR_INVEST,None
CURRENT_ASSET_BALANCE,0
CURRENT_ASSET_OTHER,None
CURRENT_LIAB_BALANCE,0
CURRENT_LIAB_OTHER,5384983000
DEFER_INCOME,None
DEFER_INCOME_1YEAR,None
DEFER_TAX_ASSET,15358088000
DEFER_TAX_LIAB,1617317000
DERIVE_FINASSET,None
DERIVE_FINLIAB,550144000
DEVELOP_EXPENSE,5971312000
DIV_HOLDSALE_ASSET,None
DIV_HOLDSALE_LIAB,None
DIVIDEND_PAYABLE,None
DIVIDEND_RECE,None
EQUITY_BALANCE,0
EQUITY_OTHER,None
EXPORT_REFUND_RECE,None
FEE_COMMISSION_PAYABLE,None
FIN_FUND,None
FINANCE_RECE,5484126000
FIXED_ASSET,292775929000
FIXED_ASSET_DISPOSAL,None
FVTOCI_FINASSET,None
FVTOCI_NCFINASSET,None
FVTPL_FINASSET,None
FVTPL_FINLIAB,None
GENERAL_RISK_RESERVE,None
GOODWILL,4427571000
HOLD_MATURITY_INVEST,None
HOLDSALE_ASSET,None
HOLDSALE_LIAB,None
INSURANCE_CONTRACT_RESERVE,None
INTANGIBLE_ASSET,41485229000
INTEREST_PAYABLE,None
INTEREST_RECE,None
INTERNAL_PAYABLE,None
INTERNAL_RECE,None
INVENTORY,138420580000
INVEST_REALESTATE,58520000
LEASE_LIAB,8620487000
LEND_FUND,None
LIAB_BALANCE,0
LIAB_EQUITY_BALANCE,None
LIAB_EQUITY_OTHER,None
LIAB_OTHER,None
LOAN_ADVANCE,None
LOAN_PBC,None
LONG_EQUITY_INVEST,21781418000
LONG_LOAN,60705569000
LONG_PAYABLE,None
LONG_PREPAID_EXPENSE,4171222000
LONG_RECE,13056606000
LONG_STAFFSALARY_PAYABLE,None
MINORITY_EQUITY,12264579000
MONETARYFUNDS,75424747000
NONCURRENT_ASSET_1YEAR,20533911000
NONCURRENT_ASSET_BALANCE,0
NONCURRENT_ASSET_OTHER,None
NONCURRENT_LIAB_1YEAR,6311964000
NONCURRENT_LIAB_BALANCE,0
NONCURRENT_LIAB_OTHER,None
NOTE_ACCOUNTS_PAYABLE,209206258000
NOTE_ACCOUNTS_RECE,37004685000
NOTE_PAYABLE,22463883000
NOTE_RECE,None
OIL_GAS_ASSET,None
OTHER_COMPRE_INCOME,3251842000
OTHER_CREDITOR_INVEST,None
OTHER_CURRENT_ASSET,30723475000
OTHER_CURRENT_LIAB,10817944000
OTHER_EQUITY_INVEST,8610322000
OTHER_EQUITY_OTHER,None
OTHER_EQUITY_TOOL,18733984000
OTHER_NONCURRENT_ASSET,44109592000
OTHER_NONCURRENT_FINASSET,3079960000
OTHER_NONCURRENT_LIAB,80798058000
OTHER_PAYABLE,None
OTHER_RECE,None
PARENT_EQUITY_BALANCE,0
PARENT_EQUITY_OTHER,None
PERPETUAL_BOND,18733984000
PERPETUAL_BOND_PAYBALE,None
PREDICT_CURRENT_LIAB,5384983000
PREDICT_LIAB,None
PREFERRED_SHARES,None
PREFERRED_SHARES_PAYBALE,None
PREMIUM_RECE,None
PREPAYMENT,5024873000
PRODUCTIVE_BIOLOGY_ASSET,None
PROJECT_MATERIAL,None
RC_RESERVE_RECE,None
REINSURE_PAYABLE,None
REINSURE_RECE,None
SELL_REPO_FINASSET,None
SETTLE_EXCESS_RESERVE,None
SHARE_CAPITAL,9117198000
SHORT_BOND_PAYABLE,None
SHORT_FIN_PAYABLE,None
SHORT_LOAN,38484710000
SPECIAL_PAYABLE,None
SPECIAL_RESERVE,31078000
STAFF_SALARY_PAYABLE,16025385000
SUBSIDY_RECE,None
SURPLUS_RESERVE,7794688000
TAX_PAYABLE,10716012000
TOTAL_ASSETS,883729883000
TOTAL_CURRENT_ASSETS,371467558000
TOTAL_CURRENT_LIAB,468451357000
TOTAL_EQUITY,258539185000
TOTAL_LIAB_EQUITY,883729883000
TOTAL_LIABILITIES,625190698000
TOTAL_NONCURRENT_ASSETS,512262325000
TOTAL_NONCURRENT_LIAB,156739341000
TOTAL_OTHER_PAYABLE,119482902000
TOTAL_OTHER_RECE,3153552000
TOTAL_PARENT_EQUITY,246274606000
TRADE_FINASSET,None
TRADE_FINASSET_NOTFVTPL,54532541000
TRADE_FINLIAB,None
TRADE_FINLIAB_NOTFVTPL,None
TREASURY_SHARES,3988271000
UNASSIGN_RPOFIT,116057428000
UNCONFIRM_INVEST_LOSS,None
USERIGHT_ASSET,9082775000
ACCEPT_DEPOSIT_INTERBANK_YOY,None
ACCOUNTS_PAYABLE_YOY,-22.7198605661
