日期: 2026-01-15 ,今开: 186.240, 今收: 186.790, 今天最高: 189.440, 今天最低: 186.070, 成交量: 206188642, 成交额: 38739187712.000, 振幅: 1.84,涨跌百分比开始值: 2.14, 涨跌百分比的结束值: 3.910, 换手率: 0.85
日期: 2026-01-16 ,今开: 188.815, 今收: 185.970, 今天最高: 190.180, 今天最低: 185.820, 成交量: 187967169, 成交额: 35303134720.000, 振幅: 2.33,涨跌百分比开始值: -0.44, 涨跌百分比的结束值: -0.820, 换手率: 0.77
日期: 2026-01-20 ,今开: 181.640, 今收: 177.810, 今天最高: 182.119, 今天最低: 177.350, 成交量: 223345257, 成交额: 40138062848.000, 振幅: 2.56,涨跌百分比开始值: -4.39, 涨跌百分比的结束值: -8.160, 换手率: 0.92
日期: 2026-01-21 ,今开: 178.790, 今收: 183.060, 今天最高: 185.119, 今天最低: 178.140, 成交量: 200380959, 成交额: 36462460160.000, 振幅: 3.92,涨跌百分比开始值: 2.95, 涨跌百分比的结束值: 5.250, 换手率: 0.82
日期: 2026-01-22 ,今开: 184.490, 今收: 184.580, 今天最高: 185.910, 今天最低: 183.670, 成交量: 139636626, 成交额: 25812457472.000, 振幅: 1.22,涨跌百分比开始值: 0.83, 涨跌百分比的结束值: 1.520, 换手率: 0.57
日期: 2026-01-23 ,今开: 187.240, 今收: 187.410, 今天最高: 189.340, 今天最低: 186.563, 成交量: 142748076, 成交额: 26797352192.000, 振幅: 1.50,涨跌百分比开始值: 1.53, 涨跌百分比的结束值: 2.830, 换手率: 0.59
日期: 2026-01-26 ,今开: 186.900, 今收: 186.210, 今天最高: 188.860, 今天最低: 185.730, 成交量: 124799649, 成交额: 23329761792.000, 振幅: 1.67,涨跌百分比开始值: -0.64, 涨跌百分比的结束值: -1.200, 换手率: 0.51
日期: 2026-01-27 ,今开: 186.980, 今收: 188.260, 今天最高: 189.740, 今天最低: 185.440, 成交量: 143711557, 成交额: 27136765440.000, 振幅: 2.31,涨跌百分比开始值: 1.10, 涨跌百分比的结束值: 2.050, 换手率: 0.59
日期: 2026-01-28 ,今开: 191.010, 今收: 191.260, 今天最高: 192.090, 今天最低: 189.580, 成交量: 148552677, 成交额: 28447011840.000, 振幅: 1.33,涨跌百分比开始值: 1.59, 涨跌百分比的结束值: 3.000, 换手率: 0.61
日期: 2026-01-29 ,今开: 191.080, 今收: 192.250, 今天最高: 193.220, 今天最低: 185.800, 成交量: 171764375, 成交额: 32637405696.000, 振幅: 3.88,涨跌百分比开始值: 0.52, 涨跌百分比的结束值: 0.990, 换手率: 0.71
日期: 2026-01-30 ,今开: 190.950, 今收: 190.870, 今天最高: 194.230, 今天最低: 189.210, 成交量: 179489463, 成交额: 34411412224.000, 振幅: 2.61,涨跌百分比开始值: -0.72, 涨跌百分比的结束值: -1.380, 换手率: 0.74
日期: 2026-02-02 ,今开: 186.940, 今收: 185.350, 今天最高: 190.040, 今天最低: 184.620, 成交量: 165794054, 成交额: 31101984256.000, 振幅: 2.84,涨跌百分比开始值: -2.89, 涨跌百分比的结束值: -5.520, 换手率: 0.68
